class_id,folder_id,authorizations_folder_id,mailshot_folder_id,tutor_id,alumn_id,events,reports,authorizations,mailshot,notices
EINFLOE 2C101,1kVHZJm-j-Vn_AVyUDHScfg3kHI2_EyX0,1rwADwSr-_gFeEOhXjrqfAOY3HPeQMqHk,1CpZ5b5JiwF1N1f_hTLsyPNKvJ8ccIlvG,['26072556426'],"['22002504440', '22089794494', '20533542161', '22001584449', '21494813915', '21722923106', '19453962395', '21498363920', '20278862932', '20278882934', '21906654329', '21999084440', '22446774713', '20463032067', '21467413978', '21505723961', '20351092053', '22001274442']",{},"{'first-term':{'folder_id':'1O_YT9y0NaEM1PQg2DIhRohzh6mfIOWfR','reports':[]},'second-term':{'folder_id':'1eVG8HnMu0znRQcFrSHrjSPUm0diyOGDN','reports': []},'third-term':{'folder_id':'1HV0jWqFsL9uJlRa5xFwhhAuys-AkJTGj','reports': []}}",[],[],[]
EINFLOE 2C102,18DbvxrzWZntlITpYuCdweNlBcofvyRKl,1UHQdsQV6XK2HNzIFKnDyxWVxseArXt_H,14Yfcj0xh2iUNdFBM1keThMefv__tqliM,['83088328064'],"['21612153072', '21971444434', '19453982391', '22002914445', '21241393733', '22084124427', '19453772390', '20349382059', '21641743005', '21855044280', '20537152168', '22003614441', '20489122142', '21999764443', '20470922007', '20657833124', '22173434664', '18769351183']",{},"{'first-term': {'folder_id':'1tU_kE56cOhEwbxr0lZd7Y511honZwzM3','reports': []} 'second-term': {'folder_id':'1Nq1BOCR9E5qhp_rwJuzOg98AkQmnou0n','reports': []} 'third-term': {'folder_id':'1w1a-WK-NCRZlvqtqGtb51VtawdYeKool' 'reports': []}}",[],[],[]
EINFLOE 2C201,1MhzoJ6Ibk7FWk5JuJRLFVr4EJe1wQBjP,1-nOBbNMhyWaf1Sw41bAizJpkP2Yx8_y9,1hqrAvBxU1Y2TUU5iOy6dN3rIdRiSXmUy,['47661712291'],"['20805033333', '20809903336', '22422664798', '19802152410', '20485772144', '18783751115', '19221022286', '21292003710', '18779241196', '20811893334', '19454632394', '19454832397', '20266962917', '20802143336', '19807012446', '19447602385', '19447522388', '19740612317', '20575632107', '20819733337']",{},"{'first-term': {'folder_id':'130YtFYBKF3FYhm3rXM0xSp4OwRuzdt5u', 'reports': []}, 'second-term': {'folder_id':'1QKv5lLFDv_Q4ou75_Z9MZqXm6atGtu3s', 'reports': []}, 'third-term': {'folder_id':'1TVHRq_A-G_-y9CA2R1OacSZCtd-r1G9V', 'reports': []}}",[],[],[]
EINFLOE 2C202,1tBS7eWzbwojDjMT3hWhEvyZ1Iusukgrp,1-YBsTYwrzyI9_f-K1CRjv_W5fazXoP7q,1GovO8RHOtBhbLMaRRXxLgufNIW0WGzWj,['35241110478'],"['20810623336', '18774621187', '20044012716', '19422752335', '19750112411', '19428212349', '19448872382', '19221062286', '19775182451', '19166132222', '20489722164', '20076172701', '18797171125', '20512612104', '22308264684', '19679772383', '20035332787', '20021232761', '19427782344', '20819313330']",{},"{'first-term': {'folder_id':'1v6B_pUG7IF-SXuoJK5jHwS4Ranz_xtXM', 'reports': []}, 'second-term': {'folder_id':'1ou5nMJWSAOIBOgncD80-wwlCOoDw3vJP', 'reports': []}, 'third-term': {'folder_id':'1bD6XGA01-ROBSa3knNOPY2eTAUkN-lJ4', 'reports': []}}",[],[],[]
EINFLOE 2C301,14N45wXAlFtL8kLAN3VePY83cm7q1osIh,1eu0xC2rzJ2XUysrTTYwYSN1VaeNNUnv5,18YvxowMjByq9tF08zqpLMDcUIulOWmP4,['70340116943'],"['19338952231', '22081544497', '18789541126', '19209372280', '22606164941', '19280312266', '19668372385', '19226032297', '19678192380', '19578092342', '18797191128', '19581622344', '19612412355', '19221252288', '18883191103', '19340142232', '19240492201']",{},"{'first-term': {'folder_id':'1Qf5HBuiNNzu4-knimwzxKYYWRmyySFm1', 'reports': []}, 'second-term': {'folder_id':'1LqSVANkngFr9LMxQxV0aivytplkt4l1G', 'reports': []}, 'third-term': {'folder_id':1dD4EwA2kpdYAJDSNLm_pKyCWIOjUuklm', 'reports': []}}",[],[],[]
EINFLOE 2C302,1EKdB_26kgxB-NAor7QgacqTbENNhJ_Jw,1d3_PrJzCoFY3G2M5LZGZsbg7NmUWrRWW,1oUTe5bq8thBW0mIhi0bbg1h4nFE-ayw4,['6601022991'],"['19248732214', '18757981162', '19627962354', '18799101133', '18799371138', '18814021144', '19256962240', '19355892244', '18891181218', '18783761111', '18784121111', '19244712218', '19439992370', '19408472329', '19384442289', '18801061138', '19621112353']",{},"{'first-term': {'folder_id':'15MLEKc8o6qQ0s8YsyzHH2iBrkM_65pWi', 'reports': []}, 'second-term': {'folder_id':'1fNasWUES7uZlfRWXEtuFlXE4I2RTuPy0', 'reports': []}, 'third-term': {'folder_id':'1hAc6TX8w9cmg93xyMcUI5e3JE-9Pvh90', 'reports': []}}",[],[],[]
EPRILOEM101,1yjJCbqXZurgx4PlesoQNej1-mLLAo2Ws,1CSV5qU7cBVigcVG0kfNOuStOHrSZsXs4,1nGviAtkOAx5xDQJbpNB5YdYH8N1GI1rt,['72113102643'],"['18471951429', '18374511330', '18166791373', '22422624794', '18166511371', '18158891372', '17995201355', '18267711302', '18073711360', '18185531384', '18315471328', '18332631327', '17971041359', '18024391362', '18184551389', '18412451466', '18126461373', '18153481370', '18285001318', '17987511359', '18351141330', '22000874440', '17945341352']",{},"{'first-term': {'folder_id':'15zH_PO2d1f9aJqtYf0WCSNzv9lcyx5Qc', 'reports': []}, 'second-term': {'folder_id':'1E7sSoQvBh_lxg5NBck29b6apMATYrOQm', 'reports': []}, 'third-term': {'folder_id':'1U_6V0m6coyV2MT-7qutiru0E7LmdUuNU', 'reports': []}}",[],[],[]
EPRILOEM102,1QenZv8dKnbLwtxuT1DC3vbUzKM_cV0iW,1lbzEMr_hPUt6fL_n4eWzxReTeCKmLqMh,1K5CyJsCbd-niBZLMb2tLY9lbF1JBhp7j,['15892374884'],"['17955831358', '21235163731', '18472581425', '18159611372', '18275611301', '17856021357', '18043911367', '17965091359', '18288961311', '18637661961', '18473681431', '18292171319', '18031481362', '17897041353', '18331131329', '17889241357', '18312831329', '17971771350', '17986501357', '18385521343', '18137301377', '17894201353', '22001144441', '18055201362']",{},"{'first-term': {'folder_id':'1d3qbK30TwF1AzazrqUEmlJeIgE4bsd5X', 'reports': []}, 'second-term': {'folder_id':'1I1nWlWo2Dr4zQkSOgZcEf3EwAo5_dEd3', 'reports': []}, 'third-term': {'folder_id':'1CXQbUOywA85sUBDa3dnIZ2r8gL61Zxhj', 'reports': []}}",[],[],[]
EPRILOEM201,19RasLRkT9gHtd1KaFQRIbvc7_FszFzcM,1r6yLHkke7C5ZN59iOT_AxyaJqvTG5kLO,1lLjLbF-OEnXK4on31kkLJIB6NkCcHZT5,['13040372709'],"['17281850503', '18475701432', '17222610597', '17164090581', '17078990556', '17317140508', '17222840592', '17177200581', '22605834940', '17165120582', '17313590507', '17383380516', '17165860582', '17084440556', '17399740516', '17088140558', '22173424666', '17222410598', '17179920584']",{},"{'first-term': {'folder_id':'1mS8yqoLrLj_un8maxJxAIZ_qNPI04XJl', 'reports': []}, 'second-term': {'folder_id':'1FlUSVRXpscZJwAXQIYulDJjcQRGS0TD_', 'reports': []}, 'third-term': {'folder_id':'1Yu1HdECtJyXaaz2X66AxxWzteMQoZhY5', 'reports': []}}",[],[],[]
EPRILOEM202,1894fFMpNQqIWvBU_vrJOp6jpSTFpINI9,1GsyteJr9ZlHht-HKkN_F7d1j6pmGzygM,170HckGC8yKW5LoME4ffhnYxP50a9PWhC,['22894046874'],"['17167970588', '17075220559', '17273990502', '17220680595', '17082760554', '17088940555', '17224300597', '17220970591', '18674661990', '17013240543', '17722520812', '17021890547', '17225100597', '17085390557', '17224250593', '17172710586', '17174570582', '17171990583']",{},"{'first-term': {'folder_id':'1nP69V-x0e7ZRySTmzLK2OnnP_KTdQ3sY', 'reports': []}, 'second-term': {'folder_id':'1zhvq6Rrwe-odHRbDTfNrz4fJKv7xgLnA', 'reports': []}, 'third-term': {'folder_id':'1fd7uZdk-dZDJTRHqOEKE2ggBhBbGjeZ7', 'reports': []}}",[],[],[]
